DATE (dd/mm/yyyy),Total of suspected cases,Cumulative number of suspected cases,Cumulative number of cases,Cumulative total,
3/12/20,5,5,1,6,
3/13/20,9,14,15,29,
3/14/20,6,20,35,55,
3/15/20,8,28,63,91,
3/16/20,20,48,111,159,
3/17/20,20,68,179,247,
3/18/20,10,78,257,335,
3/19/20,10,88,345,433, 
3/20/20,12,100,445,545,
3/21/20,7,107,552,659,
3/22/20,19,126,678,804,
3/23/20,47,173,851,1024,
3/24/20,44,217,1068,1285,
3/25/20,56,273,1341,1614,
3/26/20,24,297,1638,1935,
3/27/20,45,342,1980,2322,
3/28/20,16,358,2338,2696,
3/29/20,11,369,2707,3076,
3/30/20,52,421,3128,3549,
3/31/20,48,469,3597,4066,
4/1/20,43,512,4109,4621,
4/2/20,42,554,4663,5217,
4/3/20,63,617,5280,5897,
4/4/20,62,679,5959,6638,
4/5/20,34,713,6672,7385,
4/6/20,234,947,7619,8566,
4/7/20,137,1084,8703,9787,
4/8/20,127,1211,9914,11125,
4/9/20,103,1314,11228,12542,
4/10/20,59,1373,12601,13974,
4/11/20,69,1442,14043,15485,
4/12/20,34,1476,15519,16995,
4/13/20,172,1648,17167,18815,
4/14/20,119,1767,18934,20701,
4/15/20,137,1904,20838,22742,
4/16/20,105,2009,22847,24856,
4/17/20,90,2099,24946,27045,
4/18/20,48,2147,27093,29240,
4/19/20,34,2181,29274,31455,
4/20/20,104,2285,31559,33844,
4/21/20,30,2315,33874,36189,
4/22/20,102,2417,36291,38708,
4/23/20,127,2544,38835,41379,
4/24/20,132,2676,41511,44187,
4/25/20,65,2741,44252,46993,
4/26/20,28,2769,47021,49790,
4/27/20,156,2925,49946,52871,
4/28/20,132,3057,53003,56060,
4/29/20,172,3229,56232,59461,
4/30/20,160,3389,59621,63010,
5/1/20,79,3468,63089,66557,
5/2/20,93,3561,66650,70211,
5/3/20,67,3628,70278,73906,
5/4/20,160,3788,74066,77854,
5/5/20,166,3954,78020,81974,
5/6/20,204,4158,82178,86336,
5/7/20,195,4353,86531,90884,
5/8/20,277,4630,91161,95791,
5/9/20,85,4715,95876,100591,
5/10/20,84,4799,100675,105474,
5/11/20,226,5025,105700,110725,
5/12/20,254,5279,110979,116258,
5/13/20,207,5486,116465,121951,
5/14/20,163,5649,122114,127763,
5/15/20,155,5804,127918,133722,
5/16/20,97,5901,133819,139720,
5/17/20,75,5976,139795,145771,
5/18/20,216,6192,145987,152179,
5/19/20,227,6419,152406,158825,
5/20/20,218,6637,159043,165680,
5/21/20,189,6826,165869,172695,
5/22/20,219,7045,172914,179959,
5/23/20,76,7121,180035,187156,
5/24/20,62,7183,187218,194401,
5/25/20,106,7289,194507,201796,
5/26/20,174,7463,201970,209433,
5/27/20,220,7683,209653,217336,
5/28/20,222,7905,217558,225463,
5/29/20,214,8119,225677,233796,
5/30/20,112,8231,233908,242139,
5/31/20,86,8317,242225,250542,
6/1/20,250,8567,250792,259359,
6/2/20,270,8837,259629,268466,
6/3/20,238,9075,268704,277779,
6/4/20,265,9340,278044,287384,
6/5/20,242,9582,287626,297208,
6/6/20,146,9728,297354,307082,
6/7/20,122,9850,307204,317054,
6/8/20,393,10243,317447,327690,
6/9/20,478,10721,328168,338889,
6/10/20,565,11286,339454,350740,
6/11/20,167,11453,350907,362360,
6/12/20,400,11853,362760,374613,
6/13/20,210,12063,374823,386886,
6/14/20,152,12215,387038,399253,
6/15/20,459,12674,399712,412386,
6/16/20,775,13449,413161,426610,
6/17/20,1050,14499,427660,442159,
6/18/20,646,15145,442805,457950,
6/19/20,759,15904,458709,474613,
6/20/20,232,16136,474845,490981,
6/21/20,157,16293,491138,507431,
6/22/20,646,16939,508077,525016,
6/23/20,623,17562,525639,543201,
6/24/20,481,18043,543682,561725,
6/25/20,617,18660,562342,581002,
6/26/20,660,19320,581662,600982,
6/27/20,1103,20423,602085,622508,
6/28/20,397,20820,622905,643725,
6/29/20,888,21708,644613,666321,
6/30/20,816,22524,667137,689661,
7/1/20,702,23226,690363,713589,
7/2/20,695,23921,714284,738205,
7/3/20,1047,24968,739252,764220,
7/4/20,461,25429,764681,790110,
7/5/20,307,25736,790417,816153,
7/6/20,916,26652,817069,843721,
7/7/20,1047,27699,844768,872467,
7/8/20,955,28654,873422,902076,
7/9/20,975,29629,903051,932680,
7/10/20,1172,30801,933852,964653,
7/11/20,514,31315,965167,996482,
7/12/20,360,31675,996842,1028517,
7/13/20,1276,32951,1029793,1062744,
7/14/20,1299,34250,1064043,1098293,
7/15/20,1197,35447,1099490,1134937,
7/16/20,1123,36570,1136060,1172630,
7/17/20,1010,37580,1173640,1211220,
7/18/20,424,38004,1211644,1249648,
7/19/20,242,38246,1249890,1288136,
7/20/20,1039,39285,1289175,1328460,
7/21/20,1260,40545,1329720,1370265,
7/22/20,1125,41670,1371390,1413060,
7/23/20,1293,42963,1414353,1457316,
7/24/20,1183,44146,1458499,1502645,
7/25/20,396,44542,1503041,1547583,
7/26/20,373,44915,1547956,1592871,
7/27/20,1380,46295,1594251,1640546,
7/28/20,1241,47536,1641787,1689323,
7/29/20,1217,48753,1690540,1739293,
7/30/20,1273,50026,1740566,1790592,
7/31/20,1223,51249,1791815,1843064,
8/1/20,374,51623,1843438,1895061,
8/2/20,346,51969,1895407,1947376,
8/3/20,1201,53170,1948577,2001747,
8/4/20,46,53216,2001793,2055009,
8/5/20,1060,54276,2056069,2110345,
8/6/20,1125,55401,2111470,2166871,
8/7/20,467,55868,2167338,2223206,
8/8/20,313,56181,2223519,2279700,
8/9/20,1175,57356,2280875,2338231,
8/10/20,1084,58440,2339315,2397755,
8/11/20,1091,59531,2398846,2458377,
8/12/20,998,60529,2459375,2519904,
8/13/20,1060,61589,2520964,2582553,
8/14/20,3279,64868,2585832,2650700,
,,,2585832,2585832,
