DATE (dd/mm/yyyy),Total of suspected cases,Cumulative number of suspected cases,,,
3/12/20,5,5,,,
3/13/20,9,14,,,
3/14/20,6,20,,,
3/15/20,8,28,,,
3/16/20,20,48,,,
3/17/20,20,68,,,
3/18/20,10,78,,,
3/19/20,10,88,,, 
3/20/20,12,100,,,
3/21/20,7,107,,,
3/22/20,19,126,,,
3/23/20,47,173,,,
3/24/20,44,217,,,
3/25/20,56,273,,,
3/26/20,24,297,,,
3/27/20,45,342,,,
3/28/20,16,358,,,
3/29/20,11,369,,,
3/30/20,52,421,,,
3/31/20,48,469,,,
4/1/20,43,512,,,
4/2/20,42,554,,,
4/3/20,63,617,,,
4/4/20,62,679,,,
4/5/20,34,713,,,
4/6/20,234,947,,,
4/7/20,137,1084,,,
4/8/20,127,1211,,,
4/9/20,103,1314,,,
4/10/20,59,1373,,,
4/11/20,69,1442,,,
4/12/20,34,1476,,,
4/13/20,172,1648,,,
4/14/20,119,1767,,,
4/15/20,137,1904,,,
4/16/20,105,2009,,,
4/17/20,90,2099,,,
4/18/20,48,2147,,,
4/19/20,34,2181,,,
4/20/20,104,2285,,,
4/21/20,30,2315,,,
4/22/20,102,2417,,,
4/23/20,127,2544,,,
4/24/20,132,2676,,,
4/25/20,65,2741,,,
4/26/20,28,2769,,,
4/27/20,156,2925,,,
4/28/20,132,3057,,,
4/29/20,172,3229,,,
4/30/20,160,3389,,,
5/1/20,79,3468,,,
5/2/20,93,3561,,,
5/3/20,67,3628,,,
5/4/20,160,3788,,,
5/5/20,166,3954,,,
5/6/20,204,4158,,,
5/7/20,195,4353,,,
5/8/20,277,4630,,,
5/9/20,85,4715,,,
5/10/20,84,4799,,,
5/11/20,226,5025,,,
5/12/20,254,5279,,,
5/13/20,207,5486,,,
5/14/20,163,5649,,,
5/15/20,155,5804,,,
5/16/20,97,5901,,,
5/17/20,75,5976,,,
5/18/20,216,6192,,,
5/19/20,227,6419,,,
5/20/20,218,6637,,,
5/21/20,189,6826,,,
5/22/20,219,7045,,,
5/23/20,76,7121,,,
5/24/20,62,7183,,,
5/25/20,106,7289,,,
5/26/20,174,7463,,,
5/27/20,220,7683,,,
5/28/20,222,7905,,,
5/29/20,214,8119,,,
5/30/20,112,8231,,,
5/31/20,86,8317,,,
6/1/20,250,8567,,,
6/2/20,270,8837,,,
6/3/20,238,9075,,,
6/4/20,265,9340,,,
6/5/20,242,9582,,,
6/6/20,146,9728,,,
6/7/20,122,9850,,,
6/8/20,393,10243,,,
6/9/20,478,10721,,,
6/10/20,565,11286,,,
6/11/20,167,11453,,,
6/12/20,400,11853,,,
6/13/20,210,12063,,,
6/14/20,152,12215,,,
6/15/20,459,12674,,,
6/16/20,775,13449,,,
6/17/20,1050,14499,,,
6/18/20,646,15145,,,
6/19/20,759,15904,,,
6/20/20,232,16136,,,
6/21/20,157,16293,,,
6/22/20,646,16939,,,
6/23/20,623,17562,,,
6/24/20,481,18043,,,
6/25/20,617,18660,,,
6/26/20,660,19320,,,
6/27/20,1103,20423,,,
6/28/20,397,20820,,,
6/29/20,888,21708,,,
6/30/20,816,22524,,,
7/1/20,702,23226,,,
7/2/20,695,23921,,,
7/3/20,1047,24968,,,
7/4/20,461,25429,,,
7/5/20,307,25736,,,
7/6/20,916,26652,,,
7/7/20,1047,27699,,,
7/8/20,955,28654,,,
7/9/20,975,29629,,,
7/10/20,1172,30801,,,
7/11/20,514,31315,,,
7/12/20,360,31675,,,
7/13/20,1276,32951,,,
7/14/20,1299,34250,,,
7/15/20,1197,35447,,,
7/16/20,1123,36570,,,
7/17/20,1010,37580,,,
7/18/20,424,38004,,,
7/19/20,242,38246,,,
7/20/20,1039,39285,,,
7/21/20,1260,40545,,,
7/22/20,1125,41670,,,
7/23/20,1293,42963,,,
7/24/20,1183,44146,,,
7/25/20,396,44542,,,
7/26/20,373,44915,,,
7/27/20,1380,46295,,,
7/28/20,1241,47536,,,
7/29/20,1217,48753,,,
7/30/20,1273,50026,,,
7/31/20,1223,51249,,,
8/1/20,374,51623,,,
8/2/20,346,51969,,,
8/3/20,1201,53170,,,
8/4/20,46,53216,,,
8/5/20,1060,54276,,,
8/6/20,1125,55401,,,
8/7/20,467,55868,,,
8/8/20,313,56181,,,
8/9/20,1175,57356,,,
8/10/20,1084,58440,,,
8/11/20,1091,59531,,,
8/12/20,998,60529,,,
8/13/20,1060,61589,,,
8/14/20,3279,64868,,,
