"","date_use","cumulative_persons_tested_all","cumulative_positive_persons_all","percent_positive_persons_cum","persons_tested_all","positive_persons_all","percent_positive_persons","avg_persons_tested_all","avg_positive_persons_all","percent_positive_persons_cum_avg"
"1",2020-08-09,1932595,203005,"10.5%",6,6,"100%",12691,1468,"11.6%"
"2",2020-08-08,1932589,202999,"10.5%",5106,686,"13.4%",14607,1694,"11.6%"
"3",2020-08-07,1927483,202313,"10.5%",12524,1509,"12%",16154,1868,"11.6%"
"4",2020-08-06,1914959,200804,"10.5%",17574,1902,"10.8%",17418,1981,"11.4%"
"5",2020-08-05,1897385,198902,"10.5%",21066,2316,"11%",17927,2053,"11.5%"
"6",2020-08-04,1876319,196586,"10.5%",20207,2469,"12.2%",18629,2077,"11.1%"
"7",2020-08-03,1856112,194117,"10.5%",12352,1391,"11.3%",19716,2167,"11%"
"8",2020-08-02,1843760,192726,"10.5%",13418,1586,"11.8%",19616,2174,"11.1%"
"9",2020-08-01,1830342,191140,"10.4%",15937,1905,"12%",20054,2214,"11%"
"10",2020-07-31,1814405,189235,"10.4%",21372,2297,"10.7%",19216,2179,"11.3%"
"11",2020-07-30,1793033,186938,"10.4%",21136,2404,"11.4%",18127,2190,"12.1%"
"12",2020-07-29,1771897,184534,"10.4%",25983,2485,"9.6%",17922,2310,"12.9%"
"13",2020-07-28,1745914,182049,"10.4%",27816,3101,"11.1%",17450,2390,"13.7%"
"14",2020-07-27,1718098,178948,"10.4%",11651,1442,"12.4%",16745,2428,"14.5%"
"15",2020-07-26,1706447,177506,"10.4%",16484,1861,"11.3%",17234,2523,"14.6%"
"16",2020-07-25,1689963,175645,"10.4%",10067,1666,"16.5%",17130,2543,"14.8%"
"17",2020-07-24,1679896,173979,"10.4%",13755,2371,"17.2%",18473,2671,"14.5%"
"18",2020-07-23,1666141,171608,"10.3%",19696,3242,"16.5%",20210,2790,"13.8%"
"19",2020-07-22,1646445,168366,"10.2%",22679,3050,"13.4%",21372,2834,"13.3%"
"20",2020-07-21,1623766,165316,"10.2%",22885,3365,"14.7%",21621,2866,"13.3%"
"21",2020-07-20,1600881,161951,"10.1%",15072,2103,"14%",22309,2914,"13.1%"
"22",2020-07-19,1585809,159848,"10.1%",15756,2006,"12.7%",22498,2959,"13.2%"
"23",2020-07-18,1570053,157842,"10.1%",19465,2557,"13.1%",22493,2967,"13.2%"
"24",2020-07-17,1550588,155285,"10%",25916,3207,"12.4%",22680,2989,"13.2%"
"25",2020-07-16,1524672,152078,"10%",27834,3547,"12.7%",22758,3013,"13.2%"
"26",2020-07-15,1496838,148531,"9.9%",24419,3274,"13.4%",22553,2989,"13.3%"
"27",2020-07-14,1472419,145257,"9.9%",27703,3705,"13.4%",22115,2946,"13.3%"
"28",2020-07-13,1444716,141552,"9.8%",16396,2417,"14.7%",21884,2918,"13.3%"
"29",2020-07-12,1428320,139135,"9.7%",15717,2061,"13.1%",22321,2948,"13.2%"
"30",2020-07-11,1412603,137074,"9.7%",20776,2710,"13%",20961,2789,"13.3%"
"31",2020-07-10,1391827,134364,"9.7%",26459,3379,"12.8%",18865,2550,"13.5%"
"32",2020-07-09,1365368,130985,"9.6%",26401,3375,"12.8%",16919,2305,"13.6%"
"33",2020-07-08,1338967,127610,"9.5%",21351,2972,"13.9%",17326,2324,"13.4%"
"34",2020-07-07,1317616,124638,"9.5%",26087,3511,"13.5%",18223,2405,"13.2%"
"35",2020-07-06,1291529,121127,"9.4%",19454,2628,"13.5%",18220,2350,"12.9%"
"36",2020-07-05,1272075,118499,"9.3%",6201,947,"15.3%",18906,2359,"12.5%"
"37",2020-07-04,1265874,117552,"9.3%",6103,1041,"17.1%",19114,2365,"12.4%"
